,Unnamed: 0,2021-06-30,2021-03-31,2020-12-31,2020-09-30
0,Capital Surplus,4515450000.0,4472867000.0,4472170000.0,4472489000.0
1,Total Liab,4437234000.0,4385215000.0,4350056000.0,4365000000.0
2,Total Stockholder Equity,3035925000.0,3067168000.0,3114128000.0,3152935000.0
3,Minority Interest,65282000.0,66325000.0,66976000.0,63589000.0
4,Deferred Long Term Liab,24600000.0,21400000.0,21300000.0,16200000.0
5,Total Assets,7538441000.0,7518708000.0,7531160000.0,7581524000.0
6,Common Stock,1386000.0,1378000.0,1375000.0,1375000.0
7,Other Current Assets,27476000.0,24118000.0,19955000.0,23528000.0
8,Other Liab,137395000.0,154873000.0,175141000.0,191141000.0
9,Treasury Stock,-1480911000.0,-1407077000.0,-1359417000.0,-1320929000.0
10,Other Assets,233397000.0,201585000.0,144400000.0,257101000.0
11,Cash,30283000.0,41111000.0,54017000.0,44449000.0
12,Total Current Liabilities,69705000.0,58232000.0,101819000.0,87638000.0
13,Other Stockholder Equity,-1476181000.0,-1402751000.0,-1355466000.0,-1316978000.0
14,Property Plant Equipment,7237327000.0,7237834000.0,7248598000.0,7234438000.0
15,Total Current Assets,67717000.0,79289000.0,103662000.0,89985000.0
16,Net Tangible Assets,3035925000.0,3067168000.0,3079628000.0,3152935000.0
17,Net Receivables,9775000.0,13642000.0,29690000.0,22008000.0
18,Long Term Debt,3734507000.0,3681528000.0,3603214000.0,3602527000.0
19,Accounts Payable,69705000.0,58232000.0,85070000.0,87638000.0
20,Intangible Assets,,,34500000.0,
0,Change To Liabilities,11132000.0,-27178000.0,-2894000.0,14890000.0
1,Total Cashflows From Investing Activities,-76294000.0,-66575000.0,-37693000.0,-118250000.0
2,Net Borrowings,53424000.0,79517000.0,2271000.0,84120000.0
3,Total Cash From Financing Activities,17226000.0,8018000.0,-63114000.0,24077000.0
4,Change To Operating Activities,-29447000.0,-11579000.0,5296000.0,48323000.0
5,Issuance Of Stock,38476000.0,38476000.0,38476000.0,38476000.0
6,Net Income,-9402000.0,15618000.0,24807000.0,-19515000.0
7,Change In Cash,-7470000.0,-8743000.0,5995000.0,7007000.0
8,Total Cash From Operating Activities,51598000.0,49814000.0,106802000.0,101180000.0
9,Depreciation,68741000.0,68117000.0,67724000.0,67369000.0
10,Other Cashflows From Investing Activities,-961000.0,319000.0,47472000.0,11615000.0
11,Dividends Paid,-65379000.0,-65421000.0,-65132000.0,-65204000.0
12,Change To Account Receivables,3867000.0,-2552000.0,10918000.0,-12814000.0
13,Other Cashflows From Financing Activities,-9295000.0,-1609000.0,-253000.0,5161000.0
14,Change To Netincome,5289000.0,6069000.0,-417000.0,1578000.0
15,Repurchase Of Stock,,-4469000.0,-4469000.0,-4469000.0
