Unnamed: 0,2020-12-31,2019-12-31,2018-12-31
Intangible Assets,287395000.0,306685000.0,329286000.0
Capital Surplus,1755412000.0,1083082000.0,1071914000.0
Total Liab,104803000.0,649989000.0,603253000.0
Total Stockholder Equity,1688468000.0,992303000.0,1011810000.0
Deferred Long Term Liab,48191000.0,37791000.0,21000000.0
Other Current Liab,41592000.0,42491000.0,43204000.0
Total Assets,1793271000.0,1642292000.0,1615063000.0
Common Stock,136000.0,136000.0,136000.0
Other Current Assets,10083000.0,10522000.0,6214000.0
Retained Earnings,-65226000.0,-87724000.0,-56536000.0
Other Liab,34005000.0,23778000.0,30520000.0
Good Will,1120954000.0,1118856000.0,1118856000.0
Treasury Stock,-1854000.0,-3191000.0,-3704000.0
Other Assets,66560000.0,53298000.0,27526000.0
Cash,168877000.0,27597000.0,34559000.0
Total Current Liabilities,70798000.0,79712000.0,61768000.0
Other Stockholder Equity,1767000.0,430000.0,-83000.0
Property Plant Equipment,91876000.0,80746000.0,59379000.0
Total Current Assets,226486000.0,82707000.0,80016000.0
Net Tangible Assets,280119000.0,-433238000.0,-436332000.0
Net Receivables,21660000.0,27325000.0,20090000.0
Inventory,13811000.0,12415000.0,12026000.0
Accounts Payable,7574000.0,16049000.0,3506000.0
Short Long Term Debt,,5500000.0,
Long Term Debt,,546499000.0,510563000.0
Change To Liabilities,1918000.0,6843000.0,9195000.0
Total Cashflows From Investing Activities,-44837000.0,-38226000.0,-28199000.0
Net Borrowings,-562627000.0,38727000.0,-994000.0
Total Cash From Financing Activities,75679000.0,18505000.0,-5182000.0
Change To Operating Activities,-20450000.0,-30245000.0,-13288000.0
Issuance Of Stock,644793000.0,291000.0,291000.0
Net Income,22498000.0,-31188000.0,-37723000.0
Change In Cash,141347000.0,-8192000.0,-44307000.0
Repurchase Of Stock,-53000.0,-1338000.0,-4188000.0
Effect Of Exchange Rate,1807000.0,294000.0,-367000.0
Total Cash From Operating Activities,108698000.0,11235000.0,-10559000.0
Depreciation,49113000.0,43162000.0,41876000.0
Change To Inventory,-2826000.0,-3538000.0,-2586000.0
Change To Account Receivables,769000.0,-10837000.0,-6355000.0
Other Cashflows From Financing Activities,-6434000.0,-19175000.0,-19175000.0
Change To Netincome,56248000.0,35159000.0,-4076000.0
Capital Expenditures,-40466000.0,-38226000.0,-28199000.0
